case_id,original_text,language,script,field_type,treatment,transliteration,variants,english,normalised
RU009,Литвинов Андрей Вячеславович,ru,Cyrillic,person_name,TRANSLITERATE,Andrey Vyacheslavovich Litvinov,"Andrei Viacheslavovich Litvinov",Andrey Vyacheslavovich Litvinov,ANDREY VYACHESLAVOVICH LITVINOV
RU010,Сергей Медведев,ru,Cyrillic,person_name,TRANSLITERATE,Sergey Medvedev,"Sergei Medvedev",Sergey Medvedev,SERGEY MEDVEDEV
RU011,пр. Невский 20 Санкт-Петербург,ru,Cyrillic,address,TRANSLATE_NORMALISE,,,"20 Nevsky Avenue, Saint Petersburg",20 NEVSKY AVENUE SAINT PETERSBURG
RU012,Публичное акционерное общество Сбербанк,ru,Cyrillic,company_name,TRANSLATE_NORMALISE,,,"Sberbank",SBERBANK
RU013,Василь Кравченко,ru,Cyrillic,person_name,TRANSLITERATE,Vasyl Kravchenko,"Vasily Kravchenko",Vasyl Kravchenko,VASYL KRAVCHENKO
RU014,Владимир Путин,ru,Cyrillic,person_name,TRANSLITERATE,Vladimir Putin,"Vladimir Vladimirovich Putin",Vladimir Putin,VLADIMIR PUTIN
RU015,720345891,en,Latin,id_no,PRESERVE,,,,720345891,720345891
RU016,Михаил Захаров,ru,Cyrillic,person_name,TRANSLITERATE,Mikhail Zakharov,"Mihail Zakharov| Michael Zakharov",Mikhail Zakharov,MIKHAIL ZAKHAROV
RU017,Татьяна Соколова,ru,Cyrillic,person_name,TRANSLITERATE,Tatyana Sokolova,"Tatiana Sokolova",Tatyana Sokolova,TATYANA SOKOLOVA
RU018,Ірина Шевченко,ru,Cyrillic,person_name,TRANSLITERATE,Iryna Shevchenko,"Irina Shevchenko",Iryna Shevchenko,IRYNA SHEVCHENKO
RU019,Николай Попов,ru,Cyrillic,person_name,TRANSLITERATE,Nikolay Popov,"Nikolai Popov",Nikolay Popov,NIKOLAY POPOV
RU020,Алексей Смирнов,ru,Cyrillic,person_name,TRANSLITERATE,Aleksey Smirnov,"Alexey Smirnov| Aleksei Smirnov",Aleksey Smirnov,ALEKSEY SMIRNOV
``
ZH001,王小明,zh,Han,person_name,TRANSLITERATE,Wang Xiaoming,"Xiaoming Wang| Wang Xiao Ming",Wang Xiaoming,WANG XIAOMING
ZH002,李伟,zh,Han,person_name,TRANSLITERATE,Li Wei,"Wei Li",Li Wei,LI WEI
ZH003,张伟,zh,Han,person_name,TRANSLITERATE,Zhang Wei,"Wei Zhang",Zhang Wei,ZHANG WEI
ZH004,陈志强,zh,Han,person_name,TRANSLITERATE,Chen Zhiqiang,"Zhiqiang Chen| Chen Chih Chiang",Chen Zhiqiang,CHEN ZHIQIANG
ZH005,北京远景科技有限公司,zh,Han,company_name,TRANSLATE_NORMALISE,,,"Beijing Envision Technology Co Ltd",BEIJING ENVISION TECHNOLOGY CO LTD
ZH006,北京市朝阳区建国路88号,zh,Han,address,TRANSLATE_NORMALISE,,,"88 Jianguo Road, Chaoyang, Beijing",88 JIANGUO ROAD BEIJING
ZH007,刘洋,zh,Han,person_name,TRANSLITERATE,Liu Yang,"Yang Liu",Liu Yang,LIU YANG
ZH008,陳建志,zh,Han,person_name,TRANSLITERATE,Chen Jianzhi,"Chien Chih Chen| Jianzhi Chen",Chen Jianzhi,CHEN JIANZHI
ZH009,吴敏,zh,Han,person_name,TRANSLITERATE,Wu Min,"Min Wu",Wu Min,WU MIN
ZH010,黃志明,zh,Han,person_name,TRANSLITERATE,Huang Zhiming,"Chi Ming Huang| Zhiming Huang",Huang Zhiming,HUANG ZHIMING
ZH011,腾讯控股有限公司,zh,Han,company_name,TRANSLATE_NORMALISE,,,"Tencent Holdings Ltd",TENCENT HOLDINGS LTD
ZH012,赵雷,zh,Han,person_name,TRANSLITERATE,Zhao Lei,"Lei Zhao",Zhao Lei,ZHAO LEI
ZH013,上海市浦东新区陆家嘴金融贸易区,zh,Han,address,TRANSLATE_NORMALISE,,,"Lujiazui Financial District, Pudong, Shanghai",LUJIAZUI SHANGHAI
ZH014,孙悟空,zh,Han,person_name,TRANSLITERATE,Sun Wukong,"Wukong Sun",Sun Wukong,SUN WUKONG
ZH015,E12345678,en,Latin,id_no,PRESERVE,,,,E12345678,E12345678
ZH016,周杰伦,zh,Han,person_name,TRANSLITERATE,Zhou Jielun,"Jay Chou| Jielun Zhou",Zhou Jielun,ZHOU JIELUN
ZH017,马云,zh,Han,person_name,TRANSLITERATE,Ma Yun,"Jack Ma| Yun Ma",Ma Yun,MA YUN
ZH018,王伟,zh,Han,person_name,TRANSLITERATE,Wang Wei,"Wei Wang",Wang Wei,WANG WEI
ZH019,中国工商银行股份有限公司,zh,Han,company_name,TRANSLATE_NORMALISE,,,"Industrial and Commercial Bank of China",INDUSTRIAL AND COMMERCIAL BANK OF CHINA
ZH020,广东省深圳市南山区科技园,zh,Han,address,TRANSLATE_NORMALISE,,,"Science and Technology Park, Nanshan, Shenzhen",NANSHAN SHENZHEN
EL001,Γεώργιος Παπαδόπουλος,el,Greek,person_name,TRANSLITERATE,Georgios Papadopoulos,"George Papadopoulos",Georgios Papadopoulos,GEORGIOS PAPADOPOULOS
EL002,Βασίλης Νικολάου,el,Greek,person_name,TRANSLITERATE,Vasilis Nikolaou,"Vassilis Nicolaou| Basil Nikolaou",Vasilis Nikolaou,VASILIS NIKOLAOU
EL003,Λεωφόρος Κηφισίας 10 Αθήνα,el,Greek,address,TRANSLATE_NORMALISE,,,"10 Kifisias Avenue, Athens",10 KIFISIAS AVENUE ATHENS
EL004,Νίκος Παπαδόπουλος,el,Greek,person_name,TRANSLITERATE,Nikos Papadopoulos,"Nick Papadopoulos",Nikos Papadopoulos,NIKOS PAPADOPOULOS
EL005,test.user+aml@gmail.com,en,Latin,email,PRESERVE,,,,test.user+aml@gmail.com,test.user+aml@gmail.com
EL006,Ελένη Κωνσταντίνου,el,Greek,person_name,TRANSLITERATE,Eleni Konstantinou,"Helen Konstantinou",Eleni Konstantinou,ELENI KONSTANTINOU
EL007,Αθήνα,el,Greek,address,TRANSLATE_NORMALISE,,,"Athens",ATHENS
EL008,Δημήτρης Αλεξίου,el,Greek,person_name,TRANSLITERATE,Dimitris Alexiou,"Demetrios Alexiou",Dimitris Alexiou,DIMITRIS ALEXIOU
EL009,Λεωφόρος Κηφισίας 30,el,Greek,address,TRANSLATE_NORMALISE,,,"30 Kifisias Avenue",30 KIFISIAS AVENUE
EL010,ΔΕΗ,el,Greek,company_name,TRANSLATE_NORMALISE,,,"Public Power Corporation",PUBLIC POWER CORPORATION
EL011,Κωνσταντίνος Παπαναστασίου,el,Greek,person_name,TRANSLITERATE,Konstantinos Papanastasiou,"Constantine Papanastasiou",Konstantinos Papanastasiou,KONSTANTINOS PAPANASTASIOU
EL012,Ανδρέας Γεωργίου,el,Greek,person_name,TRANSLITERATE,Andreas Georgiou,"Andrew Georgiou",Andreas Georgiou,ANDREAS GEORGIOU
EL013,Εθνική Τράπεζα της Ελλάδος Ανώνυμη Εταιρεία,el,Greek,company_name,TRANSLATE_NORMALISE,,,"National Bank of Greece SA",NATIONAL BANK OF GREECE SA
EL014,Μαρία Παπαδάκη,el,Greek,person_name,TRANSLITERATE,Maria Papadaki,"Mary Papadaki",Maria Papadaki,MARIA PAPADAKI
EL015,Πλατεία Συντάγματος Αθήνα,el,Greek,address,TRANSLATE_NORMALISE,,,"Syntagma Square, Athens",SYNTAGMA SQUARE ATHENS
EL016,Χρήστος Αντωνίου,el,Greek,person_name,TRANSLITERATE,Christos Antoniou,"Hristos Antoniou",Christos Antoniou,CHRISTOS ANTONIOU
EL017,Σοφία Θεοδώρου,el,Greek,person_name,TRANSLITERATE,Sofia Theodorou,"Sophia Theodorou",Sofia Theodorou,SOFIA THEODOROU
EL018,AK1234567,en,Latin,passport_no,PRESERVE,,,,AK1234567,AK1234567
EL019,Θεόδωρος Μητσοτάκης,el,Greek,person_name,TRANSLITERATE,Theodoros Mitsotakis,"Theodore Mitsotakis",Theodoros Mitsotakis,THEODOROS MITSOTAKIS
EL020,Ιωάννης Παπαγεωργίου,el,Greek,person_name,TRANSLITERATE,Ioannis Papageorgiou,"John Papageorgiou",Ioannis Papageorgiou,IOANNIS PAPAGEORGIOU
